#Spectroscopic redshift catalogue from Noirot et al.
#See Table B1 in Noirot et al. for a description of catalogue entries 
ID RA DEC FLUX_F435W FLUXERR_F435W FLUX_F606W FLUXERR_F606W FLUX_F814W FLUXERR_F814W FLUX_F090W FLUXERR_F090W FLUX_F150W FLUXERR_F150W FLUX_F200W FLUXERR_F200W FLUX_F277W FLUXERR_F277W FLUX_F356W FLUXERR_F356W FLUX_F444W FLUXERR_F444W Z_GRISM ZERR_GRISM Q_FLAG Z_SPEC REF_SPEC FLAG_MERGE_GRISM FLAG_MERGE_SPEC MU
602 110.799062 -73.459566 466.35 77.93 618.73 35.76 436.77 45.82 487.39 14.39 1261.15 13.94 948.08 8.63 751.04 4.21 737.11 3.85 692.71 5.13 2.2095 0.0005 1 "" "" False False 5.0
611 110.838979 -73.458823 604.61 73.97 1067.51 48.44 1577.95 42.32 2016.3 13.86 4343.7 13.3 4666.14 8.79 5345.46 4.57 5699.6 4.24 5972.62 5.18 1.4489 0.0003 1 1.4503 muse False False 7.2
614 110.821254 -73.45896 144.05 45.74 138.34 21.0 499.42 26.4 528.18 6.94 717.76 6.75 762.73 4.12 799.01 2.5 700.07 2.26 520.27 2.93 0.8578 0.0015 2 "" "" False False 3.4
615 110.836696 -73.458728 4815.77 100.01 5989.5 51.33 6515.63 56.58 5730.04 17.86 5515.13 16.29 4548.32 10.3 3587.3 5.18 2979.53 4.62 2544.69 5.94 1.3715 0.0009 2 1.3782 muse False False 7.1
616 110.916437 -73.458734 902.3 56.45 1157.62 29.2 1135.52 36.35 1319.83 38.72 2496.74 57.05 2347.82 19.91 2173.48 10.11 2245.71 9.6 2369.06 38.59 "" "" -99 2.213 nirspec False False 1.9
621 110.76264 -73.458384 -310.27 76.15 68.91 33.94 63.71 44.52 188.25 13.28 2129.37 12.92 3332.97 8.62 4975.62 5.24 5980.71 5.07 7073.13 6.35 1.9832 0.0041 2 "" "" False False 2.4
622 110.891749 -73.458353 1150.15 74.17 2589.66 35.37 3622.24 48.51 4315.28 12.32 5757.54 11.74 6324.63 7.73 4785.12 4.69 3183.35 4.16 2664.63 5.1 0.2876 0.0008 2 "" "" False False 1.0
633 110.753304 -73.4577 -155.53 67.36 109.1 30.86 242.81 40.56 228.23 18.48 1096.81 13.4 1964.91 10.41 3361.44 6.41 4446.34 6.39 5554.88 8.1 "" "" -99 1.996 nirspec False False 2.2
643 110.842046 -73.456798 1739.59 162.18 7420.85 182.64 9983.4 127.42 13525.26 30.53 18783.54 28.3 20384.32 19.06 18811.62 9.74 12544.99 8.46 10564.9 10.71 "" "" -99 0.4233 muse False False 1.2
646 110.836397 -73.456984 1306.47 80.53 3043.78 43.71 3607.67 46.44 3661.18 15.38 4869.43 14.27 5578.0 10.65 4833.53 5.52 2950.65 4.49 2748.62 5.3 "" "" -99 0.3241 muse False False 1.0
649 110.853255 -73.456755 604.72 88.72 4384.53 41.6 9862.73 56.97 12486.67 15.87 25226.08 16.66 30311.42 12.46 27577.7 8.49 16925.61 6.4 13694.96 6.9 0.3933 0.0009 1 0.3836 muse False False 1.0
660 110.862442 -73.456455 205.73 92.62 2908.97 42.9 6702.17 59.08 8476.06 15.57 17329.84 15.56 20843.63 11.29 19166.86 7.32 11758.28 5.77 9416.22 6.65 0.3955 0.0009 1 "" "" False False 1.0
663 110.804641 -73.456237 858.7 115.77 3361.16 56.31 8692.61 71.56 11102.05 23.96 24754.07 24.13 30864.47 18.84 30143.29 10.05 18972.64 7.94 15588.38 8.5 0.3877 0.0008 1 0.3864 muse False False 1.0
674 110.855894 -73.455839 1771.39 93.07 5069.25 44.02 8899.16 58.85 11124.83 16.0 20447.14 16.02 24906.18 11.88 23978.8 8.01 15621.29 6.29 14334.74 7.18 0.3898 0.0018 1 0.3822 muse False False 1.0
677 110.852269 -73.455606 1643.57 123.73 6092.38 60.25 12208.34 80.4 16044.51 20.73 29729.09 20.7 35758.38 14.96 38611.41 10.18 26531.69 8.55 20569.49 9.07 "" "" -99 0.5189 muse False False 1.7
